ORDER_ID,ORDER_DATE,CUSTOMER_NAME,PRODUCT_NAME,CATEGORY,QUANTITY,UNIT_PRICE,LINE_REVENUE
O0001,2026-07-26,Naledi Ndlovu,Shampoo,Beauty,4,624,2496
O0002,2026-01-25,Zanele Mbeki,USB-C Cable,Electronics,4,152,608
O0003,2026-04-16,Pieter Coetzee,Sunglasses,Fashion,4,656,2624
O0004,2026-06-22,Johan Mahlangu,Wireless Earbuds,Electronics,1,586,586
O0005,2026-07-06,Thabo Van der Merwe,Backpack,Fashion,3,450,1350
O0006,2026-02-19,Naledi Naidoo,Desk Lamp,Home,2,88,176
O0007,2026-02-05,Ayanda Coetzee,Cap,Fashion,4,392,1568
O0008,2026-04-29,Aisha Fourie,Storage Box,Home,2,873,1746
O0009,2026-07-26,Michael Els,Cap,Fashion,5,392,1960
O0010,2026-06-16,Naledi Naidoo,Wireless Earbuds,Electronics,5,586,2930
O0011,2026-08-26,Zanele Nkosi,Power Bank,Electronics,2,358,716
O0012,2026-05-05,Nomvula Coetzee,Sunglasses,Fashion,4,656,2624
O0013,2026-08-20,Ayanda Mokoena,Backpack,Fashion,1,450,450
O0014,2026-01-01,Nomvula Coetzee,Backpack,Fashion,4,450,1800
O0015,2026-03-15,Naledi Coetzee,Cap,Fashion,4,392,1568
O0016,2026-06-19,Grace Van der Merwe,Perfume,Beauty,4,890,3560
O0017,2026-03-17,Zanele Van der Merwe,Throw Blanket,Home,2,739,1478
O0018,2026-07-08,Thabo Van der Merwe,Lip Balm,Beauty,5,1068,5340
O0019,2026-01-15,Thabo Van der Merwe,Sneakers,Fashion,1,155,155
O0020,2026-05-09,Chloe Nkosi,Shampoo,Beauty,5,624,3120
O0021,2026-09-03,Nomvula Coetzee,Wireless Earbuds,Electronics,5,586,2930
O0022,2026-01-18,David Fourie,Coffee Mug,Home,5,700,3500
O0023,2026-04-14,Michael Els,Desk Lamp,Home,1,88,88
O0024,2026-05-29,Zanele Mokoena,Desk Lamp,Home,5,88,440
O0025,2026-01-21,Sipho Els,Face Mask,Beauty,4,725,2900
O0026,2026-05-25,Karabo Nkosi,Lip Balm,Beauty,5,1068,5340
O0027,2026-02-22,Naledi Dlamini,Storage Box,Home,3,873,2619
O0028,2026-04-12,Naledi Ndlovu,Storage Box,Home,2,873,1746
O0029,2026-04-28,Karabo Nkosi,Kitchen Scale,Home,3,146,438
O0030,2026-01-03,David Mbeki,Power Bank,Electronics,4,358,1432
O0031,2026-01-26,Michael Els,Lip Balm,Beauty,1,1068,1068
O0032,2026-05-10,Ayanda Coetzee,Throw Blanket,Home,3,739,2217
O0033,2026-08-14,Kagiso Dlamini,Denim Jacket,Fashion,1,115,115
O0034,2026-03-14,Naledi Ndlovu,Denim Jacket,Fashion,2,115,230
O0035,2026-06-30,Kagiso Fourie,Perfume,Beauty,3,890,2670
O0036,2026-01-03,Michael Els,Moisturizer,Beauty,5,684,3420
O0037,2026-08-29,Sipho Els,USB-C Cable,Electronics,2,152,304
O0038,2026-08-16,Naledi Coetzee,USB-C Cable,Electronics,1,152,152
O0039,2026-02-09,Lerato Mokoena,Perfume,Beauty,3,890,2670
O0040,2026-02-23,Nomvula Pretorius,Face Mask,Beauty,3,725,2175
O0041,2026-05-10,Ayanda Mokoena,Storage Box,Home,4,873,3492
O0042,2026-01-24,Naledi Coetzee,Wireless Earbuds,Electronics,4,586,2344
O0043,2026-01-01,Kagiso Naidoo,Wireless Earbuds,Electronics,3,586,1758
O0044,2026-06-13,Fatima Sithole,Smart Watch,Electronics,3,104,312
O0045,2026-05-22,Nomvula Coetzee,Cap,Fashion,4,392,1568
O0046,2026-01-29,Ayanda Ndlovu,Bluetooth Speaker,Electronics,1,1088,1088
O0047,2026-05-20,Grace Van der Merwe,Smart Watch,Electronics,1,104,104
O0048,2026-05-22,Aisha Ndlovu,Lip Balm,Beauty,2,1068,2136
O0049,2026-01-11,Naledi Fourie,Smart Watch,Electronics,3,104,312
O0050,2026-08-19,Aisha Ndlovu,Wireless Earbuds,Electronics,3,586,1758
O0051,2026-06-20,Ayanda Mokoena,Desk Lamp,Home,1,88,88
O0052,2026-08-15,Pieter Coetzee,Perfume,Beauty,4,890,3560
O0053,2026-08-25,Michael Els,Smart Watch,Electronics,2,104,208
O0054,2026-08-14,Nomvula Coetzee,Coffee Mug,Home,4,700,2800
O0055,2026-07-08,Naledi Dlamini,Coffee Mug,Home,3,700,2100
O0056,2026-03-10,Chloe Dlamini,Desk Lamp,Home,2,88,176
O0057,2026-04-08,Grace Van der Merwe,USB-C Cable,Electronics,1,152,152
O0058,2026-02-21,Michael Naidoo,Desk Lamp,Home,4,88,352
O0059,2026-07-30,Pieter Coetzee,Kitchen Scale,Home,2,146,292
O0060,2026-06-18,David Fourie,Bluetooth Speaker,Electronics,2,1088,2176
O0061,2026-03-13,Pieter Botha,Sneakers,Fashion,1,155,155
O0062,2026-03-31,Fatima Sithole,Storage Box,Home,5,873,4365
O0063,2026-03-26,Pieter Botha,Perfume,Beauty,1,890,890
O0064,2026-02-15,Lerato Fourie,Storage Box,Home,5,873,4365
O0065,2026-01-28,Naledi Coetzee,Wireless Earbuds,Electronics,5,586,2930
O0066,2026-07-06,Naledi Fourie,Denim Jacket,Fashion,3,115,345
O0067,2026-05-11,Naledi Fourie,Face Mask,Beauty,1,725,725
O0068,2026-02-18,Kagiso Van der Merwe,Lip Balm,Beauty,3,1068,3204
O0069,2026-01-01,Sipho Els,Sunglasses,Fashion,5,656,3280
O0070,2026-04-04,Ayanda Coetzee,Throw Blanket,Home,4,739,2956
O0071,2026-06-09,Michael Els,Sneakers,Fashion,3,155,465
O0072,2026-07-04,Karabo Nkosi,USB-C Cable,Electronics,3,152,456
O0073,2026-06-20,Sam Van der Merwe,Kitchen Scale,Home,4,146,584
O0074,2026-06-28,Naledi Dlamini,Backpack,Fashion,3,450,1350
O0075,2026-02-19,Ayanda Ndlovu,Smart Watch,Electronics,4,104,416
O0076,2026-06-23,Karabo Nkosi,Backpack,Fashion,2,450,900
O0077,2026-03-19,Michael Els,Lip Balm,Beauty,4,1068,4272
O0078,2026-03-19,Ayanda Ndlovu,Bluetooth Speaker,Electronics,3,1088,3264
O0079,2026-07-21,Ayanda Mokoena,Sunglasses,Fashion,5,656,3280
O0080,2026-04-30,Lerato Khumalo,Sneakers,Fashion,4,155,620
O0081,2026-05-11,Kagiso Fourie,Throw Blanket,Home,4,739,2956
O0082,2026-06-18,Lerato Mokoena,Coffee Mug,Home,1,700,700
O0083,2026-06-19,Nomvula Pretorius,Moisturizer,Beauty,5,684,3420
O0084,2026-07-29,Kagiso Mbeki,Power Bank,Electronics,2,358,716
O0085,2026-02-27,Fatima Botha,Kitchen Scale,Home,2,146,292
O0086,2026-01-12,Zanele Van der Merwe,Bluetooth Speaker,Electronics,2,1088,2176
O0087,2026-08-06,Michael Naidoo,Face Mask,Beauty,1,725,725
O0088,2026-08-15,Sarah Pretorius,Sunglasses,Fashion,5,656,3280
O0089,2026-05-07,Zanele Mbeki,Backpack,Fashion,4,450,1800
O0090,2026-06-17,Naledi Ndlovu,Smart Watch,Electronics,1,104,104
O0091,2026-07-19,David Mbeki,USB-C Cable,Electronics,4,152,608
O0092,2026-07-25,David Fourie,Coffee Mug,Home,5,700,3500
O0093,2026-05-23,Sarah Pretorius,Wireless Earbuds,Electronics,2,586,1172
O0094,2026-02-04,Lerato Fourie,Cap,Fashion,4,392,1568
O0095,2026-05-24,Karabo Nkosi,Moisturizer,Beauty,5,684,3420
O0096,2026-06-06,Naledi Dlamini,Cap,Fashion,5,392,1960
O0097,2026-04-25,Naledi Fourie,Perfume,Beauty,2,890,1780
O0098,2026-04-26,Lerato Mokoena,Shampoo,Beauty,3,624,1872
O0099,2026-08-04,David Mbeki,Desk Lamp,Home,3,88,264
O0100,2026-05-05,Fatima Sithole,Moisturizer,Beauty,2,684,1368
O0101,2026-01-20,Kagiso Naidoo,Cap,Fashion,3,392,1176
O0102,2026-03-27,Naledi Ndlovu,Storage Box,Home,3,873,2619
O0103,2026-02-05,Ayanda Coetzee,Power Bank,Electronics,2,358,716
O0104,2026-06-27,David Fourie,Backpack,Fashion,2,450,900
O0105,2026-01-17,Sipho Ndlovu,Throw Blanket,Home,4,739,2956
O0106,2026-05-19,Chloe Dlamini,Sneakers,Fashion,4,155,620
O0107,2026-02-22,Chloe Dlamini,Wireless Earbuds,Electronics,4,586,2344
O0108,2026-08-31,Kagiso Van der Merwe,Lip Balm,Beauty,1,1068,1068
