CUSTOMER_ID,CUSTOMER_NAME,TOTAL_REVENUE
C011,Nomvula Coetzee,11722
C043,Karabo Nkosi,11004
C016,Naledi Ndlovu,10691
C050,Fatima Sithole,9116
C040,Michael Els,8968
C049,David Mbeki,8752
C021,Naledi Dlamini,8146
C048,Lerato Mokoena,7912
C014,Ayanda Mokoena,7655
C027,Chloe Dlamini,7590
C035,Ayanda Coetzee,7457
C017,Naledi Coetzee,7352
C028,Naledi Fourie,7237
C015,David Fourie,6934
C022,Kagiso Mbeki,6881
C004,Thabo Van der Merwe,6845
C047,Johan Mahlangu,6590
C023,Pieter Coetzee,6476
C003,Sipho Els,6180
C006,David Fourie,6124
C008,Lerato Fourie,5933
C026,Pieter Botha,5808
C029,Kagiso Fourie,5626
C019,Nomvula Pretorius,5595
C037,Zanele Mokoena,5587
C042,Michael Mbeki,4985
C025,Kagiso Van der Merwe,4892
C036,Ayanda Ndlovu,4768
C020,Sipho Els,4728
C013,Zanele Mbeki,4584
C030,Sarah Pretorius,4452
C012,Aisha Fourie,4090
C045,Grace Van der Merwe,4080
C024,Aisha Ndlovu,3894
C010,Zanele Van der Merwe,3654
C018,Kagiso Naidoo,3590
C038,Chloe Nkosi,3120
C007,Naledi Naidoo,3106
C046,Sipho Ndlovu,2956
C005,Michael Els,2513
C002,Naledi Dlamini,2100
C001,Zanele Nkosi,1176
C039,Lerato Khumalo,1100
C031,Michael Naidoo,1077
C032,Zanele Dlamini,1076
C044,Fatima Botha,1017
C009,Kagiso Dlamini,840
C041,Nomvula Ndlovu,784
C033,Sam Van der Merwe,584
